employee_id,name,department,band,base_salary,work_conditions_premium,overtime_premium,other_premiums,annual_bonus,profit_sharing,social_security_tax,medicare,er_401k,er_pension,ltips,planned_hours,actual_hours,sick_days,holiday_days,other_absences,currency,fx_rate
1001,John Doe,ERP,BV,87000,2550,3550,1050,8700,2050,5370,1250,2600,1750,4300,2080,2100,5,12,2,USD,1.0
1002,Jane Smith,ERA,BIV,73500,1850,2250,850,7350,1470,4550,1060,2200,1470,3650,2080,2070,8,12,3,USD,1.0
1003,Michael Johnson,ERZ,BIII,66500,1550,1850,750,6650,1350,4120,960,2000,1350,3300,2080,2095,3,12,1,USD,1.0
1004,Lisa Brown,8VC,BVI,94000,3100,4200,1250,9400,2350,5800,1350,2800,1870,4700,2080,2120,4,12,0,USD,1.0
1005,Robert Chen,MMS,BV,86000,2450,3250,950,8600,1720,5300,1235,2570,1720,4250,2080,2080,6,12,4,USD,1.0
1006,Sarah Wilson,WC,BIV,72500,1750,2150,800,7250,1450,4500,1050,2180,1450,3600,2080,2055,10,12,2,USD,1.0
1007,David Lee,BC,BIII,67500,1650,1950,750,6750,1350,4200,970,2030,1350,3350,2080,2090,7,12,1,USD,1.0
1008,Emily Garcia,ERP,BV,88000,2700,3700,1150,8800,2200,5430,1270,2630,1760,4350,2080,2110,4,12,3,EUR,1.1
1009,James Wilson,ERA,BVI,97000,3200,4300,1350,9700,2420,5990,1400,2900,1930,4800,2080,2100,3,12,0,USD,1.0
1010,Maria Rodriguez,ERZ,BIV,75000,1950,2350,900,7500,1500,4620,1080,2230,1500,3700,2080,2070,5,12,2,USD,1.0
